item,proportion
lik fies item 1,0.2687252573238321
lik fies item 2,0.2083927157561362
lik fies item 3,0.20079176563737133
lik fies item 4,0.11955661124307206
lik fies item 5,0.1276326207442597
lik fies item 6,0.1178147268408551
lik fies item 7,0.0958036421219319
lik fies item 8,0.09247822644497229
