year_item,proportion
2014-1,0.26757812164145584
2014-2,0.16288720084327102
2014-3,0.18512371238161826
2014-4,0.034924950331165376
2014-5,0.061081918642839815
2014-6,0.07679735272662179
2014-7,0.04508148939426057
2014-8,0.01682562270961123
2015-1,0.21135150632086205
2015-2,0.09947898449935741
2015-3,0.1006572815972226
2015-4,0.016260880604098273
2015-5,0.05017429137756753
2015-6,0.031118154598070796
2015-7,0.0096126166973342
2015-8,0.017299362469862245
2016-1,0.1732627666374033
2016-2,0.1147465625181886
2016-3,0.11947865587881606
2016-4,0.05270413938416852
2016-5,0.08687171195654148
2016-6,0.06829977613542583
2016-7,0.047728686758836174
2016-8,0.02613826392252589
2017-1,0.20419061633570948
2017-2,0.1396630015748144
2017-3,0.16018157535260902
2017-4,0.06254149706459572
2017-5,0.09169522290959428
2017-6,0.09038995661438634
2017-7,0.03869323794487365
2017-8,0.03026399933748502
