score,proportion
0,0.6912114014251781
1,0.06492478226444973
2,0.052256532066508314
3,0.05843230403800475
4,0.025811559778305623
5,0.01789390340459224
6,0.00728424386381631
7,0.007442596991290578
8,0.07474267616785432
