country,shock_type,exposed_observations,unexposed_observations,unique_households,remittance_receipt_prevalence_exposed,mean_raw_score_exposed,mean_raw_score_unexposed,small_cell_status,weight_status,"mean_raw_score_No remittance, no shock","mean_raw_score_No remittance, shock","mean_raw_score_Remittance, no shock","mean_raw_score_Remittance, shock"
Kyrgyzstan,lik_any_shock,1424,4891,2221,0.22331460674157302,1.3188202247191012,1.205683909221018,ADEQUATE,unweighted,1.1820382473977245,1.349005424954792,1.3342105263157895,1.2138364779874213
Kyrgyzstan,lik_economic_shock,151,6164,2221,0.2781456953642384,1.4172185430463575,1.2266385463984426,ADEQUATE,unweighted,1.2125585023400935,1.4403669724770642,1.2963320463320462,1.3571428571428572
Kyrgyzstan,lik_employment_shock,45,6270,2221,0.08888888888888889,2.0,1.2256778309409888,ADEQUATE,unweighted,1.2157428791377982,1.4146341463414633,1.2737430167597765,SUPPRESSED_SMALL_CELL
Kyrgyzstan,lik_health_shock,572,5743,2221,0.20279720279720279,1.5262237762237763,1.2018109002263626,ADEQUATE,unweighted,1.185735201840619,1.5482456140350878,1.2817047817047817,1.4396551724137931
Kyrgyzstan,lik_agricultural_shock,751,5564,2221,0.22636484687083888,1.047936085219707,1.2559309849029474,ADEQUATE,unweighted,1.2368986254295533,1.0602409638554218,1.35352422907489,1.0058823529411764
Kyrgyzstan,lik_climate_shock,786,5529,2221,0.21628498727735368,1.1895674300254453,1.2371134020618557,ADEQUATE,unweighted,1.215754165764986,1.228896103896104,1.3458149779735682,1.0470588235294118
Kyrgyzstan,lik_remittance_loss_shock,35,6280,2221,0.6285714285714286,1.1142857142857143,1.2318471337579617,ADEQUATE,unweighted,1.2155436447166923,SUPPRESSED_SMALL_CELL,1.3125,SUPPRESSED_SMALL_CELL
