item,proportion
uzb fies item 1,0.23965206322265833
uzb fies item 2,0.14683356316961918
uzb fies item 3,0.12224461652699692
uzb fies item 4,0.055521374774583646
uzb fies item 5,0.06311658003606661
uzb fies item 6,0.08590219582051555
uzb fies item 7,0.009992574519995757
uzb fies item 8,0.008613556804922033
