score,proportion
0,0.7551076694600615
1,0.07100880449771932
2,0.04478625225416357
3,0.0631377956932216
4,0.011477670520844384
5,0.00734061737562321
6,0.03801845762172483
7,0.0018245465153283124
8,0.0072981860613132495
