year_score,proportion
2014-0,0.582
2014-1,0.127
2014-2,0.058
2014-3,0.075
2014-4,0.03
2014-5,0.007
2014-6,0.009
2014-7,0.005
2014-8,0.005
2015-0,0.672
2015-1,0.151
2015-2,0.034
2015-3,0.033
2015-4,0.019
2015-5,0.008
2015-6,0.005
2015-7,0.002
2015-8,0.002
2016-0,0.732
2016-1,0.081
2016-2,0.024
2016-3,0.038
2016-4,0.02
2016-5,0.004
2016-6,0.01
2016-7,0.016
2016-8,0.011
2017-0,0.674
2017-1,0.096
2017-2,0.062
2017-3,0.04
2017-4,0.028
2017-5,0.031
2017-6,0.013
2017-7,0.01
2017-8,0.014
