round,proportion
49,0.0912863070539419
50,0.06657420249653259
51,0.06440443213296398
52,0.05678670360110803
53,0.05285118219749652
54,0.06328233657858136
55,0.05241090146750524
56,0.06293706293706294
57,0.07724719101123595
58,0.0916138125440451
59,0.08898305084745763
60,0.08031837916063676
61,0.06763636363636363
62,0.06783369803063458
63,0.07252747252747253
64,0.05956813104988831
65,0.051166290443942816
66,0.05215419501133787
67,0.05232129697862933
68,0.05251479289940828
69,0.06413124533929904
70,0.07110438729198185
71,0.08931297709923663
72,0.08627450980392157
73,0.088638195004029
74,0.07008964955175224
75,0.06590724165988608
76,0.053982883475971036
77,0.04530313124583611
78,0.06372881355932203
79,0.07369146005509641
80,0.07579972183588317
81,0.07610993657505286
82,0.07904022582921666
49-shock,0.014522821576763486
50-shock,0.009015256588072122
51-shock,0.009695290858725761
52-shock,0.0110803324099723
53-shock,0.014603616133518776
54-shock,0.01043115438108484
55-shock,0.013277428371767994
56-shock,0.011888111888111888
57-shock,0.018258426966292134
58-shock,0.008456659619450317
59-shock,0.007062146892655367
60-shock,0.005788712011577424
61-shock,0.004363636363636364
62-shock,0.008023340627279359
63-shock,0.005128205128205128
64-shock,0.0037230081906180195
65-shock,0.013544018058690745
66-shock,0.007558578987150416
67-shock,0.01694915254237288
68-shock,0.014053254437869823
69-shock,0.014168530947054437
70-shock,0.00832072617246596
71-shock,0.009923664122137405
72-shock,0.00784313725490196
73-shock,0.008863819500402902
74-shock,0.013854930725346373
75-shock,0.008136696501220505
76-shock,0.009216589861751152
77-shock,0.014656895403064623
78-shock,0.04
79-shock,0.04201101928374656
80-shock,0.02642559109874826
81-shock,0.026074700493305146
82-shock,0.01058574453069866
