survey_year,source_folder,relative_path,filename,extension,file_size,sha256_checksum,probable_file_format,probable_role,microdata_or_study_resource,openable_status,parsing_method,opening_warning,opening_error,probable_language,notes
2016,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.dta,KAZ_2016_FIES_v01_EN_M_v01_A_OCS.dta,.dta,109242,0b928371211ca8c5d1208014612a3373b4587f469daf0d40467df43ea62f86d5,Stata DTA,microdata,microdata,openable,pyreadstat.read_dta,,,English,"rows=1000, columns=23"
2016,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.RData,KAZ_2016_FIES_v01_EN_M_v01_A_OCS.RData,.rdata,21092,a8b38c24d61385cff0cf55a9145004eec5a2fc94ee45a90480d65ee57ce672ec,RData,microdata,microdata,unsupported,not parsed,,RData parser is not available in the bundled runtime; treated as alternate unsupported format.,English,
2016,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav,KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav,.sav,187479,9d5c90ed6f88c13a51984ebb0621f0bfff989e740b8193d264c5f7d1b5dcb264,SPSS SAV,microdata,microdata,openable,pyreadstat.read_sav(user_missing=True),,,English,"rows=1000, columns=23"
2016,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf,FIES_Questions.pdf,.pdf,174058,b8b6c878aace162402b3707fccf7524cbb5392919d9fb6f274c4abe5f1f643d8,PDF,questionnaire,study resource,openable,pypdf.PdfReader.extract_text,,,English,pages=1; text_chars=1121
2016,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/technical,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf,Derived_variables_and_Computation_indicator.pdf,.pdf,578696,ed4b166f1efb045564c22172a3db9178b131abc50384c0eb5ea1f2a92fc84ea4,PDF,derived-indicator documentation,study resource,openable,pypdf.PdfReader.extract_text,,,English,pages=4; text_chars=8585
