year,source_folder,resource_file,resource_role,language,parse_status,main_topics,fies_documentation,sampling_documentation,weight_documentation,citation_information,data_use_information,notes
2014,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf,questionnaire,English,parsed,"[""FIES""]",yes,no,no,not found in supplied resource,not found in supplied resource,pages=1
2014,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/resources/technical,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf,derived-indicator documentation,English,parsed,"[""FIES"", ""derived indicators"", ""weights"", ""target population""]",yes,yes,yes,not found in supplied resource,not found in supplied resource,pages=4
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf,questionnaire,English,parsed,"[""FIES""]",yes,no,no,not found in supplied resource,not found in supplied resource,pages=1
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/technical,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf,derived-indicator documentation,English,parsed,"[""FIES"", ""derived indicators"", ""weights"", ""target population""]",yes,yes,yes,not found in supplied resource,not found in supplied resource,pages=4
2016,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf,questionnaire,English,parsed,"[""FIES""]",yes,no,no,not found in supplied resource,not found in supplied resource,pages=1
2016,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/technical,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf,derived-indicator documentation,English,parsed,"[""FIES"", ""derived indicators"", ""weights"", ""target population""]",yes,yes,yes,not found in supplied resource,not found in supplied resource,pages=4
2017,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf,questionnaire,English,parsed,"[""FIES""]",yes,no,no,not found in supplied resource,not found in supplied resource,pages=1
2017,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/technical,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf,derived-indicator documentation,English,parsed,"[""FIES"", ""derived indicators"", ""weights"", ""target population""]",yes,yes,yes,not found in supplied resource,not found in supplied resource,pages=4
