survey_year,source_folder,relative_path,filename,extension,file_size,sha256_checksum,probable_file_format,probable_role,microdata_or_study_resource,openable_status,parsing_method,opening_warning,opening_error,probable_language,notes
2017,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.dta,KAZ_2017_FIES_v01_EN_M_v01_A_OCS.dta,.dta,110242,42a3e1bb44800af694184956d4462a1688058bac06fc7f24e041fa18e0cc14ce,Stata DTA,microdata,microdata,openable,pyreadstat.read_dta,,,English,"rows=1000, columns=23"
2017,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.RData,KAZ_2017_FIES_v01_EN_M_v01_A_OCS.RData,.rdata,21970,c15c5826ae4cfa8d303adf6a0442d826e20276cbed38205e9a50ce6a4a58739e,RData,microdata,microdata,unsupported,not parsed,,RData parser is not available in the bundled runtime; treated as alternate unsupported format.,English,
2017,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav,KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav,.sav,187479,f72b225f8377f1036b6e44ecd55d7c8c22bfaa5e4265f1e315d3dd0020acf0e3,SPSS SAV,microdata,microdata,openable,pyreadstat.read_sav(user_missing=True),,,English,"rows=1000, columns=23"
2017,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf,FIES_Questions.pdf,.pdf,174058,b8b6c878aace162402b3707fccf7524cbb5392919d9fb6f274c4abe5f1f643d8,PDF,questionnaire,study resource,openable,pypdf.PdfReader.extract_text,,,English,pages=1; text_chars=1121
2017,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/technical,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf,Derived_variables_and_Computation_indicator.pdf,.pdf,578696,ed4b166f1efb045564c22172a3db9178b131abc50384c0eb5ea1f2a92fc84ea4,PDF,derived-indicator documentation,study resource,openable,pypdf.PdfReader.extract_text,,,English,pages=4; text_chars=8585
