check,beta_3,ci_lower,ci_upper,p_value,dropped_household,minimum,maximum,median,iqr,proportion_negative,proportion_ci_excludes_zero,completed_sensitivity_runs,stability
leave_one_remittance_plus_shock_household,-0.5258574088238079,-1.0364692635294048,-0.015245554118211047,0.04354093522967606,1f23130cb1a1006d989715e7,,,,,,,,
leave_one_remittance_plus_shock_household,-0.517792263229475,-1.0383543522802703,0.0027698258213203486,0.0512315271193291,666db65f4c2a2c4831884fee,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5298984299358117,-1.0409166071224192,-0.01888025274920424,0.04211545554527052,ba10b320c84fdd74d9a3ff2d,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5331548617411963,-1.0443699887623406,-0.02193973472005195,0.04094570056218627,a14619f2092c871bf01c0a83,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5375590636600917,-1.0489547963343666,-0.02616333098581669,0.039375890426756044,d20e0939f76402c1da4f6106,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5303811784676968,-1.0415106367200984,-0.01925172021529531,0.04197316258098205,a5f7bea51b45cdf8935a36b7,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5307357064329705,-1.0418841019046172,-0.019587310961323823,0.04184380946307398,9a1531c4b7d6f8c8a7f98c36,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5340575776864617,-1.045382351554914,-0.02273280381800924,0.04064813771762554,92abecc7c70a62d7a38a7c38,,,,,,,,
households_at_least_2_eligible_rounds,-0.525121100305905,-1.0259637364366612,-0.024278464175148784,0.0398815452236303,,,,,,,,,
households_at_least_5_eligible_rounds,-0.5013692985460613,-1.0122625749659941,0.009523977873871492,0.05442648398028749,,,,,,,,,
summary,,,,,,-6.131073291370382,-0.4932988929977497,-0.5302557184594415,0.024133970592684628,1.0,0.84,50,GENERALLY STABLE
