check,beta_3,ci_lower,ci_upper,p_value,dropped_household,minimum,maximum,median,iqr,proportion_negative,proportion_ci_excludes_zero,completed_sensitivity_runs,stability
household_equal,-6.131073291370382,-11.340509401060512,-0.9216371816802527,0.021070730377367175,,,,,,,,,
earliest_round,-2.3714679657010107,-3.635691418896535,-1.1072445125054868,0.00023640142715164458,,,,,,,,,
median_round,-2.3714679657010107,-3.635691418896535,-1.1072445125054868,0.00023640142715164458,,,,,,,,,
leave_one_high_leverage_household,-0.5307357064329705,-1.0418841019046172,-0.019587310961323823,0.04184380946307398,9a1531c4b7d6f8c8a7f98c36,,,,,,,,
leave_one_high_leverage_household,-0.5340575776864617,-1.045382351554914,-0.02273280381800924,0.04064813771762554,92abecc7c70a62d7a38a7c38,,,,,,,,
leave_one_high_leverage_household,-0.5301302584511862,-1.0412445386437814,-0.019015978258591026,0.04206421001773819,637e65b8523e97cee6399e26,,,,,,,,
leave_one_high_leverage_household,-0.5258574088238079,-1.0364692635294048,-0.015245554118211047,0.04354093522967606,1f23130cb1a1006d989715e7,,,,,,,,
leave_one_high_leverage_household,-0.5303811784676968,-1.0415106367200984,-0.01925172021529531,0.04197316258098205,a5f7bea51b45cdf8935a36b7,,,,,,,,
leave_one_high_leverage_household,-0.524736166319497,-1.0352233223415508,-0.014249010297443299,0.0439390673603246,cd10a7daab6b2531c563ffe5,,,,,,,,
leave_one_high_leverage_household,-0.5269054502014264,-1.037521131321655,-0.016289769081197836,0.04312563503692446,534e4dbe229dab15b2a64db8,,,,,,,,
leave_one_high_leverage_household,-0.5472691246050662,-1.0584674562944658,-0.036070792915666505,0.03588205223609364,c839e1dac4906865aa0e0256,,,,,,,,
leave_one_high_leverage_household,-0.5956741070799219,-1.0954895355453682,-0.09585867861447545,0.019498442316619347,44781e029867bc5a7cbdc1f5,,,,,,,,
leave_one_high_leverage_household,-0.5462977678424638,-1.0579799975724287,-0.034615538112498734,0.03638876767942323,ee3d51acca46f803539742e3,,,,,,,,
leave_one_high_leverage_household,-0.5929413780050055,-1.1043054864399533,-0.08157726957005751,0.02304821115192457,a00c91e8202909e093b4595d,,,,,,,,
leave_one_high_leverage_household,-0.6676261298628331,-1.112569917551754,-0.22268234217391214,0.003272886959241994,0775f10acfb9ebfab8e602a3,,,,,,,,
leave_one_high_leverage_household,-0.6119255489784617,-1.1032993067527528,-0.12055179120417064,0.014654192762311169,5189814da2e5cc1cf2b30350,,,,,,,,
leave_one_high_leverage_household,-0.5958930272541196,-1.0953339091609957,-0.09645214534724356,0.01936273979431613,b77df380bb3ce583478055fe,,,,,,,,
leave_one_high_leverage_household,-0.524442435284279,-1.0350024756530405,-0.013882394915517682,0.04408765924964575,165b560660c20e291250c718,,,,,,,,
leave_one_high_leverage_household,-0.517792263229475,-1.0383543522802703,0.0027698258213203486,0.0512315271193291,666db65f4c2a2c4831884fee,,,,,,,,
leave_one_high_leverage_household,-0.5120341161008294,-1.0314837465457178,0.007415514344059182,0.0533614684865269,8a22cc927796ffa18f9a9f4b,,,,,,,,
leave_one_high_leverage_household,-0.5276146751670477,-1.0384405493467552,-0.016788800987340147,0.04293105230216221,22d532d43f4f77151c6b9f8a,,,,,,,,
leave_one_high_leverage_household,-0.5259525316960234,-1.0366097774974088,-0.015295285894638022,0.04352162025356954,7c746f7d7f59e13b9d6bc868,,,,,,,,
leave_one_high_leverage_household,-0.5215378233847875,-1.031740490685177,-0.011335156084398057,0.04512274252267434,9bbcb2bae55fcabbe0ca041f,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5039699557603584,-1.0104486040405303,0.002508692519813338,0.05114562830494496,eb3f291434bcbb33ac85dd05,,,,,,,,
leave_one_remittance_plus_shock_household,-0.4932988929977497,-1.0072930895205074,0.02069530352500809,0.05996530800439315,0d9bce53cdcaace8549a3d7e,,,,,,,,
