model_id,contrast,estimate,standard_error,ci_lower,ci_upper,p_value,observations,clusters,weight_status
KG_M0,Shock association among non-remittance households,0.16696717755706703,0.12961229025624055,-0.08706824329891621,0.42100259841305027,0.1976746732022554,6315,2221,unweighted
KG_M0,Shock association among remittance households,-0.12037404832836862,0.1985621298536206,-0.5095486715350305,0.26880057487829323,0.5443629424689673,6315,2221,unweighted
KG_M0,Remittance association among non-shocked households,0.1521722789180646,0.1277316552128377,-0.09817716498478515,0.40252172282091436,0.2335187581806606,6315,2221,unweighted
KG_M0,Remittance association among shocked households,-0.13516894696737106,0.19977709942348965,-0.5267248667732883,0.2563869728385463,0.4986605367874928,6315,2221,unweighted
KG_M0,Remittance x shock interaction,-0.28734122588543565,0.23712078187597577,-0.7520894183483262,0.17740696657745486,0.2255917540716279,6315,2221,unweighted
KG_M1,Shock association among non-remittance households,0.1540700348288202,0.1289603441554976,-0.09868759514984554,0.40682766480748594,0.23220089331826,6314,2221,unweighted
KG_M1,Shock association among remittance households,-0.1107517420559852,0.19593210657378757,-0.4947716143556724,0.273268130243702,0.5718998488200107,6314,2221,unweighted
KG_M1,Remittance association among non-shocked households,0.005983488332617255,0.1363405533324542,-0.26123908583125544,0.27320606249648993,0.9649950012612378,6314,2221,unweighted
KG_M1,Remittance association among shocked households,-0.25883828855218816,0.19942169949737998,-0.6496976373028223,0.132021060198446,0.19430642341039173,6314,2221,unweighted
KG_M1,Remittance x shock interaction,-0.2648217768848054,0.23479112092279356,-0.7250039177832694,0.1953603640136587,0.25936058595481337,6314,2221,unweighted
KG_M2,Shock association among non-remittance households,0.2093543880722173,0.12288545965299788,-0.03149668707130848,0.45020546321574306,0.08844562013526835,6297,2215,unweighted
KG_M2,Shock association among remittance households,-0.00465078616196124,0.19150348396479572,-0.3799907176469046,0.37068914532298214,0.9806247611610395,6297,2215,unweighted
KG_M2,Remittance association among non-shocked households,-0.2574280459676852,0.13794026571556178,-0.5277859987880715,0.012929906852701067,0.062009412640724904,6297,2215,unweighted
KG_M2,Remittance association among shocked households,-0.47143322020186373,0.18709292786086998,-0.8381286205713194,-0.1047378198324081,0.011742784214149982,6297,2215,unweighted
KG_M2,Remittance x shock interaction,-0.21400517423417853,0.22497505426854736,-0.6549481780204756,0.22693782955211844,0.34148277472323674,6297,2215,unweighted
UZ_M0,Shock association among non-remittance households,0.8665366733695725,0.1647572702599033,0.5436183574690299,1.1894549892701152,1.444676045458948e-07,47135,2000,unweighted; popw not used
UZ_M0,Shock association among remittance households,-0.2629283489096592,0.286393575639539,-0.8242494425668034,0.298392744747485,0.35858404953712775,47135,2000,unweighted; popw not used
UZ_M0,Remittance association among non-shocked households,-0.1773310942256233,0.05337204054106773,-0.2819383714675277,-0.07272381698371888,0.0008919975646946021,47135,2000,unweighted; popw not used
UZ_M0,Remittance association among shocked households,-1.306796116504855,0.3179338420801963,-1.9299349964484849,-0.683657236561225,3.9518499320267964e-05,47135,2000,unweighted; popw not used
UZ_M0,Remittance x shock interaction,-1.1294650222792317,0.315088956096189,-1.7470280281540844,-0.511902016404379,0.0003376068982703373,47135,2000,unweighted; popw not used
UZ_M1,Shock association among non-remittance households,0.8682667356281902,0.1643397253673642,0.5461667926789529,1.1903666785774276,1.2683240990796207e-07,47135,2000,unweighted; popw not used
UZ_M1,Shock association among remittance households,-0.2638373607289347,0.29037838167291113,-0.8329685306968663,0.30529380923899685,0.3635621009947987,47135,2000,unweighted; popw not used
UZ_M1,Remittance association among non-shocked households,-0.13665334091221124,0.05236896478501683,-0.2392946257984906,-0.03401205602593187,0.009069222157966017,47135,2000,unweighted; popw not used
UZ_M1,Remittance association among shocked households,-1.2687574372693362,0.3204925421658215,-1.896911277228031,-0.6406035973106414,7.53355846649928e-05,47135,2000,unweighted; popw not used
UZ_M1,Remittance x shock interaction,-1.132104096357125,0.31824281638736124,-1.7558485548149463,-0.5083596378993036,0.00037460138566780543,47135,2000,unweighted; popw not used
UZ_M2,Shock association among non-remittance households,0.8142249458950339,0.16298502505013643,0.494780166777408,1.13366972501266,5.862150966873259e-07,47135,2000,unweighted; popw not used
UZ_M2,Shock association among remittance households,-0.2976867829513341,0.33035508809947717,-0.945170857735866,0.34979729183319774,0.3675290165631995,47135,2000,unweighted; popw not used
UZ_M2,Remittance association among non-shocked households,-0.1405880322620794,0.051809798055793235,-0.24213337049772743,-0.03904269402643133,0.0066568248562703936,47135,2000,unweighted; popw not used
UZ_M2,Remittance association among shocked households,-1.2524997611084474,0.3578426225812089,-1.9538584135009764,-0.5511411087159185,0.0004650115067197369,47135,2000,unweighted; popw not used
UZ_M2,Remittance x shock interaction,-1.111911728846368,0.3555421423148502,-1.808761522769689,-0.4150619349230472,0.0017637797273146738,47135,2000,unweighted; popw not used
