dataset,key,rows,missing_key_rows,duplicate_key_rows,unique_keys,cross_file_note
L2CU household,round + hhid,121618,0,0,121618,2711 household-rounds have no individual-roster row
L2CU individual roster,round + hhid + fmid,635150,0,0,635150,0 individual-file household-rounds lack a household-file match
LiK hh0,hhid,2316,0,0,2316,module-level key check
LiK hh6b,hhid,529,0,0,529,module-level key check
LiK hh7,hhid + shock,772,0,0,772,module-level key check
LiK id2,hhid + pid,7043,0,0,7043,module-level key check
