measure,value
constructed_rows,48925
preferred_sample_rows,47135
excluded_rows,1790
excluded_percent,0.03658661216147164
missing_or_excluded_by_uzb_any_remittance,1790
missing_or_excluded_by_uzb_any_verified_shock,0
missing_or_excluded_by_uzb_fies_raw_score,0
missing_or_excluded_by_round,0
