model_id,term,coefficient,clustered_se,ci_lower,ci_upper,p_value,observations,clusters,r_squared,weight_status,fixed_effects
KG_M0,Intercept,1.1820382473977247,0.056631835614296425,1.0710418892153108,1.2930346055801385,0.0,6315,2221,0.0009548221049523464,unweighted,none
KG_M0,lik_remittance_receipt,0.1521722789180646,0.1277316552128377,-0.09817716498478515,0.40252172282091436,0.2335187581806606,6315,2221,0.0009548221049523464,unweighted,none
KG_M0,lik_any_shock,0.16696717755706703,0.12961229025624055,-0.08706824329891621,0.42100259841305027,0.1976746732022554,6315,2221,0.0009548221049523464,unweighted,none
KG_M0,rem_x_shock,-0.28734122588543565,0.23712078187597577,-0.7520894183483262,0.17740696657745486,0.2255917540716279,6315,2221,0.0009548221049523464,unweighted,none
KG_M1,Intercept,0.8350674710399181,0.2325701395974238,0.37923837354951473,1.2908965685303215,0.00032991148214445154,6314,2221,0.016800401677457777,unweighted,none
KG_M1,lik_remittance_receipt,0.005983488332617255,0.1363405533324542,-0.26123908583125544,0.27320606249648993,0.9649950012612378,6314,2221,0.016800401677457777,unweighted,none
KG_M1,lik_any_shock,0.1540700348288202,0.1289603441554976,-0.09868759514984554,0.40682766480748594,0.23220089331826,6314,2221,0.016800401677457777,unweighted,none
KG_M1,rem_x_shock,-0.2648217768848054,0.23479112092279356,-0.7250039177832694,0.1953603640136587,0.25936058595481337,6314,2221,0.016800401677457777,unweighted,none
KG_M1,h103a,-0.005265675284579464,0.003192760661424758,-0.011523371192228272,0.0009920206230693432,0.09909548145469871,6314,2221,0.016800401677457777,unweighted,none
KG_M1,h102,0.2721225114533441,0.0756938283088815,0.12376533411597798,0.4204796887907102,0.00032433892649752494,6314,2221,0.016800401677457777,unweighted,none
KG_M1,lik_household_size,0.08751253575153932,0.0222739439690077,0.04385640777862108,0.13116866372445757,8.532834832575276e-05,6314,2221,0.016800401677457777,unweighted,none
KG_M1,kg_child_present,-0.037487345575259956,0.12438391075960259,-0.28127533092032514,0.20630063976980523,0.7631215402767397,6314,2221,0.016800401677457777,unweighted,none
KG_M1,h104[2.0],-0.39592538463682403,0.08621078435712645,-0.564895417055741,-0.2269553522179071,4.379101076423808e-06,6314,2221,0.016800401677457777,unweighted,none
KG_M1,h104[3.0],-0.5661726476111539,0.11516644140003107,-0.7918947249828575,-0.34045057023945036,8.827394415433787e-07,6314,2221,0.016800401677457777,unweighted,none
KG_M1,h104[4.0],-0.8378493873620502,0.14423196883244238,-1.1205388516929409,-0.5551599230311595,6.283178866084427e-09,6314,2221,0.016800401677457777,unweighted,none
KG_M1,h104[5.0],-0.19205893942335378,0.3002612576127893,-0.780560190297124,0.3964423114504165,0.5224070423665603,6314,2221,0.016800401677457777,unweighted,none
KG_M1,h104[6.0],0.5798614160933577,0.6353971616897183,-0.6654941366974634,1.8252169688841788,0.36145463826967483,6314,2221,0.016800401677457777,unweighted,none
KG_M1,h104[7.0],-0.4886955277909465,0.33243593324186527,-1.140257984111964,0.16286692853007112,0.1415497734303477,6314,2221,0.016800401677457777,unweighted,none
KG_M1,h104[8.0],-0.7620013491195362,0.298168054058338,-1.3463999964142706,-0.17760270182480176,0.010600176071817069,6314,2221,0.016800401677457777,unweighted,none
KG_M1,h104[9.0],-0.2390871727086319,0.48536765094752415,-1.1903902878265875,0.7122159424093237,0.6223024295406205,6314,2221,0.016800401677457777,unweighted,none
KG_M1,h104[10.0],-0.915278855457735,0.562018019502378,-2.0168139323449257,0.18625622142945553,0.10340665408532912,6314,2221,0.016800401677457777,unweighted,none
KG_M1,h104[11.0],-0.8387402314506607,0.24393344878502235,-1.3168410056939504,-0.36063945720737106,0.0005851673953349845,6314,2221,0.016800401677457777,unweighted,none
KG_M2,Intercept,0.12232873766857875,0.34038144337174764,-0.5448066323458065,0.789464107682964,0.7193054405678256,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,lik_remittance_receipt,-0.2574280459676852,0.13794026571556178,-0.5277859987880715,0.012929906852701067,0.062009412640724904,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,lik_any_shock,0.2093543880722173,0.12288545965299788,-0.03149668707130848,0.45020546321574306,0.08844562013526835,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,rem_x_shock,-0.21400517423417853,0.22497505426854736,-0.6549481780204756,0.22693782955211844,0.34148277472323674,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,h103a,-0.0016610727811251927,0.0031171203224875893,-0.007770516348678746,0.004448370786428361,0.5941118305415101,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,h102,0.325395526468227,0.07360475481605769,0.18113285793785283,0.4696581949986012,9.831373751323369e-06,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,lik_household_size,0.03322176151539879,0.020525752166018287,-0.00700797348559206,0.07345149651638963,0.10554616247745496,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,kg_child_present,-0.1598014342516342,0.120599375475189,-0.39617186674102767,0.07656899823775928,0.18515118078006765,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,residence,0.036605961065133585,0.12490155630743409,-0.20819659091043885,0.281408513040706,0.7694621482851058,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,h104[2.0],-0.41400436438790855,0.08454652288162214,-0.5797125042539795,-0.24829622452183758,9.742775934906689e-07,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,h104[3.0],-0.41946392749228045,0.11273593329905698,-0.6404222965219419,-0.19850555846261897,0.00019862011183668926,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,h104[4.0],-0.7704735308194086,0.13897747391096713,-1.0428643743472592,-0.4980826872915581,2.9585265792775317e-08,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,h104[5.0],-0.17463141267712987,0.2868774042726468,-0.7369007930298547,0.3876379676755949,0.5427021929474409,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,h104[6.0],0.48293006195069366,0.6163870041865926,-0.7251662667935675,1.691026390694955,0.4333422730786243,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,h104[7.0],-0.12947919559486978,0.30495560762850454,-0.7271812034302668,0.4682228122405273,0.6711401407573327,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,h104[8.0],-0.5635185959001113,0.2828818308431585,-1.1179567962334538,-0.009080395566768873,0.04636408107260359,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,h104[9.0],-0.10101876006093718,0.460955034136785,-1.004474025461467,0.8024365053395925,0.826532418257639,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,h104[10.0],-1.0690258389139593,0.5843110178407651,-2.2142543896518,0.07620271182388128,0.06731735448147158,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,h104[11.0],-1.0182027983623148,0.4444392198664041,-1.8892876626175452,-0.14711793410708418,0.021964383745390226,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,oblast[3],1.2694893327540369,0.16533353746340337,0.9454415538891625,1.5935371116189112,1.5987211554602254e-14,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,oblast[4],-0.16914081259146174,0.13219002272784605,-0.4282284962535712,0.0899468710706477,0.20071124675408747,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,oblast[5],0.6976715706264053,0.18733806858519209,0.33049570326613426,1.0648474379866764,0.00019598888653238333,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,oblast[6],1.711797001766394,0.15453741802550278,1.4089092281725977,2.01468477536019,0.0,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,oblast[7],0.9730242929855027,0.27844457929216065,0.4272829458824605,1.518765640088545,0.0004749524585867526,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,oblast[8],0.5716790822666298,0.13659037876574565,0.30396685925108374,0.8393913052821758,2.8472208035701385e-05,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,oblast[11],0.011875127984232788,0.16306033211127366,-0.30771725026100366,0.33146750622946924,0.9419441112163665,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M2,oblast[21],1.4491480894760114,0.26343902528841545,0.9328170877883806,1.9654790911636422,3.778871371373782e-08,6297,2215,0.08428044498878295,unweighted,oblast fixed effects
KG_M3,Intercept,7.970191743646127,0.6837925177748161,6.629983035909523,9.310400451382732,0.0,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,lik_remittance_receipt,-0.6890182689433351,0.4127124441379759,-1.497919795425267,0.11988325753859674,0.09502080448101613,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,lik_any_shock,0.20228590103769506,0.19616097386130513,-0.18218254290276592,0.586754344978156,0.3024357958065971,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,rem_x_shock,-0.5795751159502355,0.32244427977370704,-1.2115542913276582,0.05240405942718729,0.07226536749772716,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,h103a,0.007126768575750356,0.007185883045538049,-0.006957303390621217,0.02121084054212193,0.32130801406814347,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,h102,0.15410492802838893,0.14159110812986944,-0.12340854443727162,0.4316184004940495,0.2764273936299415,1498,949,0.1075157158397706,unweighted,oblast fixed effects
