model_id,term,coefficient,clustered_se,ci_lower,ci_upper,p_value,observations,clusters,r_squared,weight_status,fixed_effects
UZ_M0,Intercept,0.7402594431352807,0.029807367103848157,0.6818380771377743,0.798680809132787,0.0,47135,2000,0.002094748921111167,unweighted; popw not used,none
UZ_M0,uzb_any_remittance,-0.1773310942256233,0.05337204054106773,-0.2819383714675277,-0.07272381698371888,0.0008919975646946021,47135,2000,0.002094748921111167,unweighted; popw not used,none
UZ_M0,uzb_work_loss_shock,0.8665366733695725,0.1647572702599033,0.5436183574690299,1.1894549892701152,1.444676045458948e-07,47135,2000,0.002094748921111167,unweighted; popw not used,none
UZ_M0,rem_x_shock,-1.1294650222792317,0.315088956096189,-1.7470280281540844,-0.511902016404379,0.0003376068982703373,47135,2000,0.002094748921111167,unweighted; popw not used,none
UZ_M1,Intercept,0.4884246352038642,0.04021954707808628,0.40959577145630194,0.5672534989514265,0.0,47135,2000,0.005846070511245638,unweighted; popw not used,none
UZ_M1,uzb_any_remittance,-0.13665334091221124,0.05236896478501683,-0.2392946257984906,-0.03401205602593187,0.009069222157966017,47135,2000,0.005846070511245638,unweighted; popw not used,none
UZ_M1,uzb_work_loss_shock,0.8682667356281902,0.1643397253673642,0.5461667926789529,1.1903666785774276,1.2683240990796207e-07,47135,2000,0.005846070511245638,unweighted; popw not used,none
UZ_M1,rem_x_shock,-1.132104096357125,0.31824281638736124,-1.7558485548149463,-0.5083596378993036,0.00037460138566780543,47135,2000,0.005846070511245638,unweighted; popw not used,none
UZ_M1,hhsize,-0.04047379332532803,0.03220108083689359,-0.10358675202890236,0.022639165378246305,0.2087869826885358,47135,2000,0.005846070511245638,unweighted; popw not used,none
UZ_M1,l2cu_roster_member_count,-0.0013987170938576984,0.03199216884495609,-0.06410221581729601,0.06130478162958062,0.9651271115972806,47135,2000,0.005846070511245638,unweighted; popw not used,none
UZ_M1,uz_child_present,0.4884246352039124,0.040219547078086365,0.40959577145634996,0.5672534989514748,0.0,47135,2000,0.005846070511245638,unweighted; popw not used,none
UZ_M2,Intercept,0.9815080425457527,0.04789769468893779,0.8876302860129393,1.0753857990785662,0.0,47135,2000,0.028275266856348846,unweighted; popw not used,round fixed effects
UZ_M2,uzb_any_remittance,-0.1405880322620794,0.051809798055793235,-0.24213337049772743,-0.03904269402643133,0.0066568248562703936,47135,2000,0.028275266856348846,unweighted; popw not used,round fixed effects
UZ_M2,uzb_work_loss_shock,0.8142249458950339,0.16298502505013643,0.494780166777408,1.13366972501266,5.862150966873259e-07,47135,2000,0.028275266856348846,unweighted; popw not used,round fixed effects
UZ_M2,rem_x_shock,-1.111911728846368,0.3555421423148502,-1.808761522769689,-0.4150619349230472,0.0017637797273146738,47135,2000,0.028275266856348846,unweighted; popw not used,round fixed effects
UZ_M2,hhsize,-0.046897439807792506,0.03213595898940565,-0.10988276203568376,0.016087882420098752,0.144470272108018,47135,2000,0.028275266856348846,unweighted; popw not used,round fixed effects
UZ_M2,l2cu_roster_member_count,0.004259850428070144,0.03195463233517313,-0.05837007808808824,0.06688977894422853,0.8939487541107416,47135,2000,0.028275266856348846,unweighted; popw not used,round fixed effects
UZ_M2,uz_child_present,0.9815080425449386,0.04789769468890907,0.8876302860121814,1.0753857990776958,0.0,47135,2000,0.028275266856348846,unweighted; popw not used,round fixed effects
UZ_M2,round[50],-0.6548330557209867,0.05167286737195416,-0.7561100147479317,-0.5535560966940417,0.0,47135,2000,0.028275266856348846,unweighted; popw not used,round fixed effects
UZ_M2,round[51],-0.7568109090487025,0.05500415243647791,-0.8646170668243502,-0.6490047512730548,0.0,47135,2000,0.028275266856348846,unweighted; popw not used,round fixed effects
UZ_M2,round[52],-0.7970333969086684,0.05637358175378929,-0.9075235868256197,-0.686543206991717,0.0,47135,2000,0.028275266856348846,unweighted; popw not used,round fixed effects
UZ_M2,round[53],-0.7809436941399812,0.055495257301592764,-0.8897123997638865,-0.6721749885160759,0.0,47135,2000,0.028275266856348846,unweighted; popw not used,round fixed effects
UZ_M2,round[54],-0.7166527316287133,0.058698995303279176,-0.8317006483518263,-0.6016048149056004,0.0,47135,2000,0.028275266856348846,unweighted; popw not used,round fixed effects
UZ_M2,round[55],-0.8478155588245709,0.057698439264358345,-0.960902421746885,-0.7347286959022569,0.0,47135,2000,0.028275266856348846,unweighted; popw not used,round fixed effects
UZ_M2,round[56],-0.7938190446868849,0.06082499223775658,-0.9130338388328162,-0.6746042505409536,0.0,47135,2000,0.028275266856348846,unweighted; popw not used,round fixed effects
